,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,AUTOCLASS_PQN,Z,BAL_PROB,BI_CIV,AI_CIV
2011,095609.27+345146.8,149.03865898600566,34.86301674006848,10230,58224,847,QSO,1.5978426933288574,0.0,0.0,0.0
2012,010105.75+093927.4,15.273976393794044,9.657625569419087,11055,58429,991,QSO,1.768739104270935,0.0,0.0,0.0
2013,152658.45+444619.0,231.74354696515013,44.77196654626959,8515,58192,866,QSO,1.8071134090423584,0.0,0.0,0.0
2014,130607.71+401256.4,196.53215930065605,40.21567084599482,4706,55705,394,QSO,2.179,0.0,0.0,0.0
2015,094020.44+183834.2,145.08518377739912,18.64283541121418,5783,56017,490,QSO,2.345,0.0,0.0,0.0
2016,094407.73+054413.5,146.032223009924,5.737088674797615,4798,55672,710,QSO,3.158,0.0,0.0,0.0
2017,112000.57+142521.2,170.00240291373137,14.422581158113825,5365,55945,985,QSO,2.184,0.0,0.0,0.0
2018,000418.06+254013.0,1.0752609202329495,25.670298397977056,6877,56544,260,QSO,2.587,0.0,0.0,0.0
2019,133433.17+510115.1,203.63824768168448,51.020883361762486,8208,57430,282,QSO,1.986674189567566,0.0,0.0,0.0
2020,013112.17+125136.9,22.800735107165394,12.86026505640764,11069,58456,796,QSO,1.9500627517700195,0.0,0.0,0.0
2021,091448.57+552820.3,138.7023759232956,55.472307731806346,8196,57346,403,QSO,2.263,0.0,0.0,0.0
2022,154720.32+425736.5,236.83469559432103,42.96014387111921,8512,57903,962,QSO,1.6540042161941528,0.0,0.0,0.0
2023,115834.21+411642.9,179.64255728550413,41.27860988618292,8381,57512,25,QSO,1.9985285997390747,0.0,0.0,0.0
2024,073854.13+213435.9,114.725573197939,21.57664558645752,11085,58462,157,QSO,2.0964176654815674,0.0,0.0,0.0
2025,130934.81+395608.6,197.39504155002282,39.93573119771954,8838,57870,917,QSO,1.6433994770050049,0.0,0.0,0.0
2026,143919.98+192112.7,219.8332590912761,19.353545954472185,5899,56038,120,QSO,2.246,0.0,0.0,0.0
2027,134258.62+413610.7,205.74427202103254,41.60299295984102,8390,57485,37,QSO,1.9796032905578613,0.0,0.0,0.0
2028,113504.90+142824.0,173.77042978408684,14.473339531789003,5376,55987,670,QSO,2.662,0.0,0.0,0.0
2029,102037.15+383031.5,155.15482687855487,38.508760809574795,4563,55617,770,VI,3.524,0.0,0.0,0.0
2030,013430.92+273318.3,23.628833200731492,27.555106514373147,7686,57015,386,QSO,2.0326058864593506,0.0,0.0,0.0
2031,231519.55+031535.8,348.83148716213293,3.259949691995063,4286,55499,666,QSO,2.19,0.0,0.0,0.0
2032,003721.71+090940.6,9.340481916786757,9.161300133189648,11314,58436,34,QSO,1.5997854471206665,0.0,0.0,0.0
2033,112159.23+415548.5,170.49679717940347,41.93015392082736,8368,57431,569,QSO,1.9934046268463135,0.0,0.0,0.0
2034,004252.26+204450.2,10.717777110933639,20.74729978118495,6194,56190,806,QSO,2.339,0.0,0.0,0.0
2035,165722.94+422755.5,254.34560382778284,42.46542038606705,6026,56071,349,QSO,2.108,0.0,0.0,0.0
2036,131835.79+521353.6,199.6491624906648,52.23157765811776,8207,57431,327,QSO,1.9202321767807007,0.0,0.0,0.0
2037,133047.33+594434.6,202.69724390167977,59.74296706364972,8212,58171,675,QSO,1.5753440856933594,0.0,0.0,0.0
2038,001501.82-062153.9,3.757609819794638,-6.364992192478158,7150,56597,546,QSO,2.766,0.0,0.0,0.0
2039,012131.19-011509.8,20.379990147918598,-1.2527422025061985,4352,55533,542,QSO,2.5,0.0,0.0,0.0
2040,150348.68+380911.2,225.95285798177622,38.15313029954942,5168,56035,778,QSO,1.826,0.0,0.0,0.0
2041,124440.74+313950.1,191.1697562343452,31.663938503759216,6482,56358,136,QSO,2.375,0.0,0.0,0.0
2042,163245.05+271041.3,248.187720190192,27.1781511427209,5005,55751,82,QSO,1.92,0.0,0.0,0.0
2043,151646.50+503705.9,229.19375291774367,50.61832565593297,8395,57834,480,QSO,2.023293972015381,0.0,0.0,0.0
